item_no,barcode,description,category_code
10001,8901234560001,JASMINE RICE 5KG BAG,101
10002,8901234560002,BASMATI RICE 2KG,102
10003,8901234560003,WHEAT FLOUR 1KG,103
10004,8901234560004,SUGAR WHITE 1KG,104
10005,8901234560005,SALT IODIZED 500G,105
10006,8901234560006,COOKING OIL 1L BOTTLE,106
10007,8901234560007,RED CHILLI POWDER 200G,107
10008,8901234560008,TURMERIC POWDER 100G,108
10009,8901234560009,CORIANDER POWDER 200G,112
10010,8901234560010,CUMIN SEEDS 100G,113
10011,8901234560011,BLACK PEPPER 50G,114
10012,8901234560012,CARDAMOM 50G,115
10013,8901234560013,TEA LEAVES 250G,124
10014,8901234560014,INSTANT COFFEE 100G,125
10015,8901234560015,MILK POWDER 400G,126
10016,8901234560016,BUTTER UNSALTED 500G,127
10017,8901234560017,CHEESE SLICE PACK 200G,128
10018,8901234560018,YOGURT PLAIN 1KG,129
10019,8901234560019,GHEE PURE 500G,130
10020,8901234560020,BISCUIT CREAM 150G,131
10021,8901234560021,CHOCOLATE DARK 100G,132
10022,8901234560022,CHIPS SALTED 100G,133
10023,8901234560023,TOMATO KETCHUP 500G,134
10024,8901234560024,SOY SAUCE 250ML,135
10025,8901234560025,VINEGAR WHITE 500ML,136
10026,8901234560026,MAYONNAISE 300G,137
10027,8901234560027,MUSTARD PASTE 200G,138
10028,8901234560028,MIXED PICKLE 500G,139
10029,8901234560029,GREEN TEA BAG 25PCS,140
10030,8901234560030,MINERAL WATER 1.5L,141
10031,8901234560031,ORANGE JUICE 1L,142
10032,8901234560032,APPLE JAM 450G,143
10033,8901234560033,HONEY NATURAL 500G,900
10034,8901234560034,COCONUT MILK 400ML,146
10035,8901234560035,CORN STARCH 400G,147
10036,8901234560036,BAKING SODA 200G,148
10037,8901234560037,YEAST DRY 100G,149
10038,8901234560038,VANILLA ESSENCE 100ML,150
10039,8901234560039,BREAD SLICED 400G,131
10040,8901234560040,PASTA PENNE 500G,132
